S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,TOTAL NUMBER DEFECTS
70,2M5009P-CHEM-0092156,2M5009P,,1106588A1,NO,101,100,S1,101,100,100,104,101,102,,,,,,,2.8,101.7,1.1,203.4,<0.05,0,0,0,0,0
71,2M5003P-CHEM-0092318,2M5003P,,1106588A1,NO,98,95,S1,95,95,102,100,97,98,,,,,,,2.6,101.3,1.1,202.5,0.05,0,0,0,0,0
72,3A5059P-CHEM-0096480,3A5059P,1/14/2013,1106588A1,NO,102,102,S1,102,102,103,104,102,102,,,,,,,2.4,101.2,1,202.4,<0.05,0,0,0,0,0
73,3A5085P-CHEM-0097995,3A5085P,2/1/2013,1106588A1,NO,102,99,S1,99,104,101,101,105,100,,,,,,,3.7,101.8,1.4,203.5,0.07,0,0,0,0,0
74,3A5086P-CHEM-0097999,3A5086P,2/1/2013,1106588A1,NO,101,99,S1,100,99,101,103,104,99,,,,,,,2.2,101,0.9,202,0.07,0,0,0,0,0
75,3A5087P-CHEM-0098003,3A5087P,2/4/2013,1106588A1,NO,101,100,S1,100,103,100,103,100,102,,,,,,,3.2,101.6,1.3,203.2,0.07,0,0,0,0,0
76,3B5064P-CHEM-0100390,3B5064P,2/28/2013,1106588A1,NO,103,101,S1,102,104,104,104,101,101,,,,,,,2.4,101.4,1,202.8,0.06,0,0,0,0,0
77,3B5065P-CHEM-0100394,3B5065P,3/1/2013,1106588A1,NO,102,101,S1,101,102,102,103,102,101,,,,,,,3.6,100.2,1.5,200.4,0.06,0,0,0,1,1
78,3B5066P-CHEM-0100398,3B5066P,3/4/2013,1106588A1,NO,102,101,S1,102,103,103,102,101,101,,,,,,,3.1,100.5,1.3,200.9,0.06,0,0,0,0,0
79,3B5067P-CHEM-0100402,3B5067P,3/4/2013,1106588A1,NO,100,98,S1,103,99,101,101,100,98,,,,,,,3.1,100.8,1.3,201.6,<0.05,0,1,0,2,3
