S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,CU - Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,Total Number Defects
76,2D5136P-CHEM-0065948,2D5136P,,1196782A1,NO,97,92,S1,99,99,97,96,97,92,,,,,,,3.4,100.2,1.4,300.6,<0.05,0,0,0,0,0
77,2E5001P-CHEM-0065952,2E5001P,,1196782A1,NO,97,93,S1,99,97,99,96,93,98,,,,,,,2.9,100.2,1.2,300.6,<0.05,0,0,0,0,0
78,2E5002P-CHEM-0065956,2E5002P,,1196782A1,NO,96,92,S1,97,99,96,99,95,92,,,,,,,2.9,100.5,1.2,301.4,<0.05,0,0,0,0,0
79,2E5059P-CHEM-0067297,2E5059P,,1196782A1,NO,97,94,S1,99,102,95,95,96,94,,,,,,,3.4,100.9,1.4,302.6,<0.05,0,0,0,0,0
80,2E5060P-CHEM-0067305,2E5060P,,1196782A1,NO,98,94,S1,98,100,99,98,97,94,,,,,,,3.5,101.9,1.3,305.6,<0.05,0,0,0,0,0
81,2E5061P-CHEM-0067313,2E5061P,,1196782A1,NO,97,93,S1,99,99,97,97,95,93,,,,,,,2.9,100.1,1.2,300.4,<0.05,0,0,0,1,1
82,2E5062P-CHEM-0067321,2E5062P,,1196782A1,NO,97,95,S1,99,97,102,95,96,96,,,,,,,2.4,101.1,1,303.4,<0.05,0,0,0,1,1
83,2E5063P-CHEM-0067329,2E5063P,,1196782A1,NO,96,87,S2,102,101,96,94,94,87,97,99,99,97,95,95,3.1,102,1.1,306.1,<0.05,0,0,0,0,0
84,2E5064P-CHEM-0067333,2E5064P,,1196782A1,NO,98,96,S1,101,99,100,97,96,98,,,,,,,2.2,99.5,0.9,298.4,<0.05,0,0,2,2,4
85,2E5065P-CHEM-0067341,2E5065P,,1196782A1,NO,97,94,S1,100,99,99,97,94,95,,,,,,,2.6,100.6,1.1,301.7,<0.05,0,0,0,1,1
86,2E5066P-CHEM-0067349,2E5066P,,1196782A1,NO,95,90,S1,98,97,98,93,95,90,,,,,,,2.6,99.8,1.1,299.5,<0.05,0,0,0,0,0
87,2E5069P-CHEM-0067361,2E5069P,,1196782A1,NO,96,92,S1,98,99,92,95,96,95,,,,,,,3.6,100.9,1.5,302.6,<0.05,0,0,0,0,0
88,2E5070P-CHEM-0067365,2E5070P,,1196782A1,NO,97,92,S1,100,100,98,92,96,95,,,,,,,3.1,101.1,1.3,303.3,<0.05,0,0,0,0,0
89,2E5071P-CHEM-0067369,2E5071P,,1196782A1,NO,97,93,S1,98,99,98,95,97,93,,,,,,,2.5,101.8,0.9,305.3,<0.05,0,0,0,1,1
90,2E5072P-CHEM-0067373,2E5072P,,1196782A1,NO,97,92,S1,101,101,98,95,92,97,,,,,,,4,101.9,1.5,305.8,<0.05,0,0,0,0,0
91,2E5073P-CHEM-0067377,2E5073P,,1196782A1,NO,96,92,S1,98,100,93,98,97,92,,,,,,,3.6,99.7,1.5,299,<0.05,0,0,0,1,1
92,2E5074P-CHEM-0067381,2E5074P,,1196782A1,NO,95,91,S1,99,98,96,91,95,92,,,,,,,2.9,99.6,1.2,298.7,<0.05,0,0,0,0,0
93,2E5096P-CHEM-0068517,2E5096P,,1196782A1,NO,96,93,S1,98,100,98,95,95,93,,,,,,,2.4,100.7,1,302,<0.05,0,0,0,0,0
94,2E5097P-CHEM-0068521,2E5097P,,1196782A1,NO,95,88,S2,96,100,98,94,95,88,99,99,94,94,91,95,4.1,102.2,1.4,306.6,<0.05,0,0,0,0,0
95,2E5098P-CHEM-0068525,2E5098P,,1196782A1,NO,96,93,S1,98,96,97,93,97,94,,,,,,,2.6,99.5,1.1,298.4,<0.05,0,0,0,0,0
96,2E5099P-CHEM-0068529,2E5099P,,1196782A1,NO,97,94,S1,98,100,97,96,96,94,,,,,,,2.9,101.5,1.2,304.6,<0.05,0,0,0,0,0
97,2E5100P-CHEM-0068533,2E5100P,,1196782A1,NO,97,94,S1,99,97,101,94,95,94,,,,,,,3,101.6,1.2,304.9,<0.05,0,0,0,0,0
98,2E5101P-CHEM-0068537,2E5101P,,1196782A1,NO,97,91,S1,101,101,100,96,92,91,,,,,,,2.9,101.3,1.2,303.9,<0.05,0,0,0,0,0
99,2E5102P-CHEM-0068541,2E5102P,,1196782A1,NO,96,92,S1,94,99,100,92,95,94,,,,,,,5,103.1,1.4,309.2,<0.05,0,0,0,0,0
100,2E5103P-CHEM-0068545,2E5103P,,1196782A1,NO,100,96,S1,101,99,99,96,102,103,,,,,,,1.7,101.8,0.6,305.4,<0.05,0,0,0,0,0
101,2E5104P-CHEM-0068549,2E5104P,,1196782A1,NO,101,99,S1,101,102,100,102,99,102,,,,,,,2.4,101.4,1,304.2,<0.05,0,0,0,0,0
102,2E5105P-CHEM-0068553,2E5105P,,1196782A1,NO,99,91,S1,102,103,100,91,99,101,,,,,,,3.1,100.8,1.3,302.5,<0.05,0,0,0,0,0
103,2E5106P-CHEM-0068557,2E5106P,,1196782A1,NO,97,95,S1,96,97,100,95,96,97,,,,,,,2.7,101.6,1.1,304.9,<0.05,0,0,0,0,0
104,2E5107P-CHEM-0068561,2E5107P,,1196782A1,NO,97,97,S1,97,97,98,98,97,97,,,,,,,2.6,101.3,1.1,303.9,<0.05,0,0,2,6,8
105,2E5108P-CHEM-0068565,2E5108P,,1196782A1,NO,97,93,S1,98,99,96,97,93,96,,,,,,,3.6,102.5,1.1,307.5,<0.05,0,0,1,0,1
106,2E5109P-CHEM-0069534,2E5109P,,1196782A1,NO,99,96,S1,99,100,99,102,97,96,,,,,,,4.6,102.5,1.5,307.5,<0.05,0,0,0,0,0
107,2F5009P-CHEM-0069900,2F5009P,,1196782A1,NO,95,94,S1,94,96,97,94,94,96,,,,,,,2.4,100.8,1,302.4,<0.05,0,0,0,0,0
108,2F5010P-CHEM-0069904,2F5010P,,1196782A1,NO,97,94,S1,98,99,98,95,94,96,,,,,,,1.9,98.8,0.8,296.5,<0.05,0,0,0,0,0
109,2F5049P-CHEM-0071649,2F5049P,,1196782A1,NO,97,93,S1,100,96,101,98,93,94,,,,,,,1.2,100.5,0.5,301.6,<0.05,0,0,0,1,1
110,2F5050P-CHEM-0071653,2F5050P,,1196782A1,NO,95,90,S1,98,99,94,96,95,90,,,,,,,2.6,100.2,1.1,300.5,<0.05,0,0,0,0,0
111,2F5051P-CHEM-0071657,2F5051P,,1196782A1,NO,95,91,S1,99,98,98,93,91,94,,,,,,,1.7,100.2,0.7,300.6,<0.05,0,0,0,0,0
112,2F5052P-CHEM-0071667,2F5052P,,1196782A1,NO,96,93,S1,100,98,97,94,93,96,,,,,,,1.4,101.3,0.6,304,<0.05,0,0,0,0,0
113,2F5053P-CHEM-0071671,2F5053P,,1196782A1,NO,95,91,S1,96,98,96,95,94,91,,,,,,,1.2,100.6,0.5,301.7,<0.05,0,0,0,1,1
114,2F5054P-CHEM-0071675,2F5054P,,1196782A1,NO,97,93,S1,101,100,99,96,94,93,,,,,,,5.3,103.4,1.4,310.3,<0.05,0,0,0,0,0
115,2G5011P-CHEM-0073279,2G5011P,,1196782A1,NO,100,94,S1,94,101,100,101,99,103,,,,,,,4.5,102.2,1.6,306.5,<0.05,0,0,2,0,2
116,2G5012P-CHEM-0073283,2G5012P,,1196782A1,NO,99,94,S1,102,94,101,100,99,96,,,,,,,1.8,101.6,0.7,304.8,<0.05,0,0,0,1,1
117,2G5013P-CHEM-0073287,2G5013P,,1196782A1,NO,100,97,S1,100,102,101,97,99,98,,,,,,,2.5,101.6,1,304.9,<0.05,0,0,0,0,0
118,2G5014P-CHEM-0073291,2G5014P,,1196782A1,NO,100,99,S1,101,100,100,99,101,100,,,,,,,1.9,101.7,0.7,305.2,<0.05,0,0,2,0,2
119,2G5015P-CHEM-0073295,2G5015P,,1196782A1,NO,99,97,S1,100,101,99,97,97,100,,,,,,,1.7,101.2,0.7,303.5,<0.05,0,0,2,0,2
120,2G5016P-CHEM-0073299,2G5016P,,1196782A1,NO,100,98,S1,99,100,101,98,100,101,,,,,,,1.7,101.1,0.7,303.4,<0.05,0,0,2,0,2
121,2G5017P-CHEM-0073303,2G5017P,,1196782A1,NO,99,97,S1,99,100,100,100,100,97,,,,,,,2.4,100.6,1,301.9,<0.05,0,0,0,0,0
122,2G5018P-CHEM-0073307,2G5018P,,1196782A1,NO,99,98,S1,99,98,98,100,100,99,,,,,,,2.6,100.3,1.1,300.9,<0.05,0,0,1,0,1
